"extId","Age","BioSex","Gender","Handedness","Education","Education_Note","Education_Year","SES_Ladder","Ethnicity","Ethnicity_Note","Occupation","Occupation_Note","Musicianship","LAQ_music","userCode"
"SA0914","30","Female","Female","Right handed; I perform most tasks, such as writing, using my right hand","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",NA,19,"7","White",NA,"School/training (not paid by employer)",NA,1,1,147352
"KE2465","24","Male","Male","Right handed; I perform most tasks, such as writing, using my right hand","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",NA,20,"7","White",NA,"Paid activity (employed, self-employed, family helper)",NA,2,1,147362
"AY0849","26","Male","Male","Right handed; I perform most tasks, such as writing, using my right hand","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",NA,21,"3","White",NA,"Unemployed/job-seeking",NA,2,1,147409
"IF1417","27","Female","Female","Right handed; I perform most tasks, such as writing, using my right hand","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",NA,19,"6","White",NA,"School/training (not paid by employer)",NA,2,1,147412
"NA2547","25","Female","Female","Right handed; I perform most tasks, such as writing, using my right hand","Degree apprenticeship; Degree with honours (e.g., BA, BSc); Graduate certificate; Graduate diploma; Level 6 award, certificate, diploma, or NVQ; Ordinary degree without honours",NA,17,"8","Asian / Asian British",NA,"School/training (not paid by employer)",NA,2,1,147353
"EK0357","24","Male","Male","Right handed; I perform most tasks, such as writing, using my right hand","Degree apprenticeship; Degree with honours (e.g., BA, BSc); Graduate certificate; Graduate diploma; Level 6 award, certificate, diploma, or NVQ; Ordinary degree without honours",NA,19,"4","Asian / Asian British",NA,"Unemployed/job-seeking",NA,2,4,147374
"IE1425","18","Female","Female","Right handed; I perform most tasks, such as writing, using my right hand","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",NA,15,"7","Asian / Asian British",NA,"Unemployed/job-seeking",NA,2,1,147443
"RI2490","34","Female","Female","Right handed; I perform most tasks, such as writing, using my right hand","Degree apprenticeship; Degree with honours (e.g., BA, BSc); Graduate certificate; Graduate diploma; Level 6 award, certificate, diploma, or NVQ; Ordinary degree without honours",NA,12,"6","Asian / Asian British",NA,"Paid activity (employed, self-employed, family helper)",NA,1,3,147363
"ET0355","27","Male","Male","Right handed; I perform most tasks, such as writing, using my right hand","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",NA,20,"5","White",NA,"Paid activity (employed, self-employed, family helper)",NA,2,1,147429
"RI2080","31","Female","Female","Right handed; I perform most tasks, such as writing, using my right hand","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",NA,18,"7","Asian / Asian British",NA,"School/training (not paid by employer)",NA,2,2,147390
"RA1607","29","Female","Female","Right handed; I perform most tasks, such as writing, using my right hand","Doctorate (e.g., PhD, DPhil); Level 8 award, certificate, or diploma",NA,12,"6","White",NA,"Unemployed/job-seeking",NA,2,1,147373
"RI0316","29","Female","Female","Right handed; I perform most tasks, such as writing, using my right hand","Degree apprenticeship; Degree with honours (e.g., BA, BSc); Graduate certificate; Graduate diploma; Level 6 award, certificate, diploma, or NVQ; Ordinary degree without honours",NA,16,"8","Asian / Asian British",NA,"School/training (not paid by employer)",NA,2,1,147380
"YA2363","28","Female","Female","Right handed; I perform most tasks, such as writing, using my right hand","Degree apprenticeship; Degree with honours (e.g., BA, BSc); Graduate certificate; Graduate diploma; Level 6 award, certificate, diploma, or NVQ; Ordinary degree without honours",NA,17,"6","Asian / Asian British",NA,"Unemployed/job-seeking",NA,2,2,147414
"IL2555","19","Male","Male","Right handed; I perform most tasks, such as writing, using my right hand","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",NA,13,"4","Asian / Asian British",NA,"Unemployed/job-seeking",NA,2,1,147458
"EI2360","30","Male","Male","Right handed; I perform most tasks, such as writing, using my right hand","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",NA,25,"8","Asian / Asian British",NA,"School/training (not paid by employer)",NA,2,1,147460
"AR1989","34","Female","Female","Right handed; I perform most tasks, such as writing, using my right hand","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",NA,18,"8","Asian / Asian British",NA,"Paid activity (employed, self-employed, family helper)",NA,2,1,147411
"HI1974","31","Male","Male","Right handed; I perform most tasks, such as writing, using my right hand","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",NA,24,"7","White",NA,"School/training (not paid by employer)",NA,2,1,147401
"AN0507","32","Male","Male","Right handed; I perform most tasks, such as writing, using my right hand","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",NA,20,"6","Other","Malay","School/training (not paid by employer)",NA,2,1,147405
"RA2435","33","Female","Female","Right handed; I perform most tasks, such as writing, using my right hand","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",NA,19,"7","White",NA,"School/training (not paid by employer)",NA,2,1,147413
"EL1073","30","Male","Male","Right handed; I perform most tasks, such as writing, using my right hand","Degree apprenticeship; Degree with honours (e.g., BA, BSc); Graduate certificate; Graduate diploma; Level 6 award, certificate, diploma, or NVQ; Ordinary degree without honours",NA,14,"6","Asian / Asian British",NA,"Paid activity (employed, self-employed, family helper)",NA,2,2,147403
"NI0288","28","Female","Female","Right handed; I perform most tasks, such as writing, using my right hand","Degree apprenticeship; Degree with honours (e.g., BA, BSc); Graduate certificate; Graduate diploma; Level 6 award, certificate, diploma, or NVQ; Ordinary degree without honours",NA,20,"6","Other","Indonesian","Paid activity (employed, self-employed, family helper)",NA,1,4,147402
"CY2785","18","Female","Female","Right handed; I perform most tasks, such as writing, using my right hand","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",NA,15,"7","White",NA,"School/training (not paid by employer)",NA,2,2,147459
"EM0118","27","Female","Female","Right handed; I perform most tasks, such as writing, using my right hand","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",NA,21,"8","White",NA,"School/training (not paid by employer)",NA,2,1,147428
"EL0562","18","Female","Female","Right handed; I perform most tasks, such as writing, using my right hand","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",NA,14,"5","Asian / Asian British",NA,"School/training (not paid by employer)",NA,2,4,147601
"IA1139","18","Female","Female","Right handed; I perform most tasks, such as writing, using my right hand","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",NA,14,"7","White",NA,"School/training (not paid by employer)",NA,2,1,147434
"AB2331","18","Female","Female","Right handed; I perform most tasks, such as writing, using my right hand","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",NA,13,"6","Asian / Asian British",NA,"School/training (not paid by employer)",NA,2,1,147483
"IA2916","18","Female","Female","Right handed; I perform most tasks, such as writing, using my right hand","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",NA,13,"5","White",NA,"Unemployed/job-seeking",NA,2,1,147579
"NA2314","18","Female","Female","Right handed; I perform most tasks, such as writing, using my right hand","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",NA,13,"8","White",NA,"School/training (not paid by employer)",NA,2,2,147576
"TA0451","35","Female","Female","Right handed; I perform most tasks, such as writing, using my right hand","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",NA,19,"9","Asian / Asian British",NA,"Other employment situation","On Sabbatical leave with no pay",1,1,147437
"AN1382","18","Male","Male","Left handed; I perform most tasks, such as writing, using my left hand","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",NA,14,"5","White",NA,"School/training (not paid by employer)",NA,1,5,147575
"YA2340","18","Female","Female","Right handed; I perform most tasks, such as writing, using my right hand","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",NA,14,"6","White",NA,"School/training (not paid by employer)",NA,1,3,147485
"KA0797","34","Female","Female","Right handed; I perform most tasks, such as writing, using my right hand","Degree apprenticeship; Degree with honours (e.g., BA, BSc); Graduate certificate; Graduate diploma; Level 6 award, certificate, diploma, or NVQ; Ordinary degree without honours",NA,17,"6","Asian / Asian British",NA,"School/training (not paid by employer)",NA,2,1,147523
"NE0792","25","Female","Female","Right handed; I perform most tasks, such as writing, using my right hand","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",NA,18,"7","Asian / Asian British",NA,"School/training (not paid by employer)",NA,2,1,147444
"OR0919","21","Male","Male","Right handed; I perform most tasks, such as writing, using my right hand","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",NA,14,"6","White",NA,"School/training (not paid by employer)",NA,2,1,147481
"LA2639","18","Female","Female","Right handed; I perform most tasks, such as writing, using my right hand","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",NA,14,"5","White",NA,"School/training (not paid by employer)",NA,2,1,147442
"IE0242","18","Female","Female","Right handed; I perform most tasks, such as writing, using my right hand","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",NA,14,"7","White",NA,"Unemployed/job-seeking",NA,2,1,147436
"EO0891","18","Male","Male","Right handed; I perform most tasks, such as writing, using my right hand","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",NA,14,"6","White",NA,"Unemployed/job-seeking",NA,2,6,147453
"AN0154","26","Female","Female","Right handed; I perform most tasks, such as writing, using my right hand","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",NA,18,"8","White",NA,"School/training (not paid by employer)",NA,2,1,147445
"EE0753","25","Female","Female","Right handed; I perform most tasks, such as writing, using my right hand","Degree apprenticeship; Degree with honours (e.g., BA, BSc); Graduate certificate; Graduate diploma; Level 6 award, certificate, diploma, or NVQ; Ordinary degree without honours",NA,16,"5","Asian / Asian British",NA,"School/training (not paid by employer)",NA,2,2,147452
"YI2480","29","Male","Male","Right handed; I perform most tasks, such as writing, using my right hand","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",NA,17,"6","Asian / Asian British",NA,"School/training (not paid by employer)",NA,2,1,147454
"TA2304","23","Female","Female","Right handed; I perform most tasks, such as writing, using my right hand","Degree apprenticeship; Degree with honours (e.g., BA, BSc); Graduate certificate; Graduate diploma; Level 6 award, certificate, diploma, or NVQ; Ordinary degree without honours",NA,17,"4","Asian / Asian British",NA,"Paid activity (employed, self-employed, family helper)",NA,2,1,147520
"OT0758","23","Male","Male","Right handed; I perform most tasks, such as writing, using my right hand","Degree apprenticeship; Degree with honours (e.g., BA, BSc); Graduate certificate; Graduate diploma; Level 6 award, certificate, diploma, or NVQ; Ordinary degree without honours",NA,16,"4","White",NA,"School/training (not paid by employer)",NA,2,1,147545
"IA1160","26","Female","Female","My hand preference varies / I have equal ability in both hands","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",NA,17,"7","White",NA,"Other employment situation","Paid PhD",1,1,147456
"LY0671","18","Female","Female","Right handed; I perform most tasks, such as writing, using my right hand","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",NA,14,"4","White",NA,"School/training (not paid by employer)",NA,2,1,147457
"IE1199","18","Male","Male","Left handed; I perform most tasks, such as writing, using my left hand","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",NA,13,"3","White",NA,"Other employment situation","University Undergraduate student, unemployed",2,2,147596
"IA1308","19","Female","Female","Right handed; I perform most tasks, such as writing, using my right hand","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",NA,14,"Prefer not to answer","White",NA,"Paid activity (employed, self-employed, family helper)",NA,2,1,147631
"IS2838","19","Male","Male","Right handed; I perform most tasks, such as writing, using my right hand","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",NA,14,"5","White",NA,"School/training (not paid by employer)",NA,2,1,147607
"YI0692","20","Female","Female","Right handed; I perform most tasks, such as writing, using my right hand","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",NA,17,"6","Asian / Asian British",NA,"School/training (not paid by employer)",NA,2,2,147464
"EP1416","18","Female","Female","Right handed; I perform most tasks, such as writing, using my right hand","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",NA,12,"5","Asian / Asian British",NA,"Unemployed/job-seeking",NA,2,1,147466
"IN0570","28","Female","Female","Right handed; I perform most tasks, such as writing, using my right hand","Diploma of higher education (DipHE); Foundation degree; Level 5 award, certificate, diploma, or NVQ",NA,14,"5","White",NA,"School/training (not paid by employer)",NA,2,1,147465
"AM0235","18","Male","Male","Right handed; I perform most tasks, such as writing, using my right hand","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",NA,13,"8","White",NA,"Unemployed/job-seeking",NA,2,1,147482
"TA0364","18","Male","Male","Right handed; I perform most tasks, such as writing, using my right hand","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",NA,12,"7","Other","Turkish","School/training (not paid by employer)",NA,2,1,147484
"IA0618","18","Female","Female","Right handed; I perform most tasks, such as writing, using my right hand","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",NA,13,"7","White",NA,"Paid activity (employed, self-employed, family helper)",NA,2,1,147574
"RU1941","24","Male","Male","Right handed; I perform most tasks, such as writing, using my right hand","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",NA,16,"8","Asian / Asian British",NA,"School/training (not paid by employer)",NA,2,1,147497
"KA1447","28","Female","Female","Right handed; I perform most tasks, such as writing, using my right hand","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",NA,17,"8","Asian / Asian British",NA,"Other employment situation","Student",2,1,147498
"IE2304","18","Female","Female","Right handed; I perform most tasks, such as writing, using my right hand","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",NA,14,"8","White",NA,"Unemployed/job-seeking",NA,1,4,147671
"SH1504","22","Male","Male","Right handed; I perform most tasks, such as writing, using my right hand","Degree apprenticeship; Degree with honours (e.g., BA, BSc); Graduate certificate; Graduate diploma; Level 6 award, certificate, diploma, or NVQ; Ordinary degree without honours",NA,17,"8","Other","Asian/ Indian","Unemployed/job-seeking",NA,2,1,147543
